,ArgumentLevelY1,ArgumentLevelY2,value
0,superficial,superficial,12
1,superficial,extended,9
2,superficial,deep,6
3,superficial,prediction,2
4,superficial,expert,5
5,extended,superficial,9
6,extended,extended,9
7,extended,deep,4
8,extended,prediction,2
9,extended,expert,0
10,deep,superficial,4
11,deep,extended,7
12,deep,deep,2
13,deep,prediction,1
14,deep,expert,0
15,prediction,superficial,0
16,prediction,extended,0
17,prediction,deep,1
18,prediction,prediction,0
19,prediction,expert,1
20,expert,superficial,3
21,expert,extended,0
22,expert,deep,2
23,expert,prediction,1
24,expert,expert,2
